class,binSpecies,sex,n_dead,rms,ks_D,ndims,external_hazard,n_flags,flags
Aves,Branta sandvicensis,m,593,0.03043,0.04324,4,,0,ok
Aves,Aythya ferina,f,157,0.02053,0.03929,4,,0,ok
Mammalia,Otocolobus manul,f,255,0.03394,0.084,4,,0,ok
Mammalia,Dasyuroides byrnei,f,348,0.01358,0.03164,4,,0,ok
Aves,Pygoscelis adeliae,m,49,0.03748,0.0672,4,,1,low_n_dead=49
Mammalia,Antidorcas marsupialis,m,773,0.01335,0.02717,4,,0,ok
Aves,Ramphocelus carbo,f,75,0.02425,0.05944,4,,1,low_n_dead=75
Aves,Phonipara canora,m,50,0.04175,0.09191,4,,1,low_n_dead=50
Mammalia,Macroscelides proboscideus,f,575,0.00825,0.01826,4,,0,ok
Mammalia,Capreolus capreolus,m,167,0.04802,0.10157,4,,0,ok
Aves,Tadorna tadornoides,f,65,0.03856,0.09002,4,,1,low_n_dead=65
Aves,Cereopsis novaehollandiae,m,110,0.01794,0.03472,4,,0,ok
Aves,Phoenicopterus ruber,f,726,0.03389,0.03542,4,,0,ok
Mammalia,Saimiri boliviensis,m,752,0.01972,0.0376,4,,0,ok
Mammalia,Pteropus rodricensis,f,663,0.01357,0.03219,4,,0,ok
Aves,Pelecanus rufescens,f,87,0.02959,0.05698,4,,1,low_n_dead=87
Mammalia,Ursus arctos,f,401,0.04695,0.10908,4,,0,ok
Aves,Cygnus melancoryphus,f,323,0.01401,0.0232,4,,0,ok
Aves,Melopsittacus undulatus,f,901,0.02279,0.0282,4,,0,ok
Mammalia,Kobus ellipsiprymnus,m,658,0.04165,0.07332,4,,0,ok
Mammalia,Arctictis binturong,f,198,0.01436,0.04013,4,,0,ok
Mammalia,Equus zebra,f,187,0.01474,0.03091,4,,0,ok
Aves,Ptilinopus porphyreus,f,100,0.01628,0.03575,4,,0,ok
Aves,Crax rubra,m,58,0.03839,0.06802,4,,1,low_n_dead=58
Mammalia,Macropus fuliginosus,m,334,0.02399,0.04905,4,,0,ok
Aves,Pauxi pauxi,f,67,0.02659,0.05005,4,,1,low_n_dead=67
Aves,Calidris pugnax,m,64,0.0414,0.07865,4,,1,low_n_dead=64
Aves,Bucorvus leadbeateri,m,33,0.0363,0.04307,4,,1,low_n_dead=33
Aves,Hypotaenidia philippensis,m,115,0.01359,0.02834,4,,0,ok
Aves,Ptilopsis leucotis,m,53,0.04502,0.16446,5,9.18,2,low_n_dead=53; infant_spike_frac=0.34
Mammalia,Callithrix jacchus,f,1199,0.01538,0.02732,4,,0,ok
Mammalia,Saguinus oedipus,m,1533,0.01717,0.02866,4,,0,ok
Aves,Cygnus olor,f,122,0.01743,0.05993,4,,0,ok
Reptilia,Sanzinia madagascariensis,f,140,0.01493,0.02288,4,,0,ok
Mammalia,Leptailurus serval,f,405,0.02118,0.03846,4,,0,ok
Mammalia,Heterocephalus glaber,m,272,0.03998,0.06913,4,,0,ok
Aves,Coracias cyanogaster,m,107,0.0288,0.06596,4,,0,ok
Aves,Dendrocygna guttata,f,75,0.01941,0.0366,4,,1,low_n_dead=75
Mammalia,Cercopithecus neglectus,f,213,0.0213,0.03179,4,,0,ok
Aves,Euplectes orix,f,65,0.03217,0.04544,4,,1,low_n_dead=65
Mammalia,Otolemur crassicaudatus,f,59,0.01886,0.04758,4,,1,low_n_dead=59
Mammalia,Boselaphus tragocamelus,m,820,0.04877,0.10624,4,,0,ok
Mammalia,Tupaia belangeri,m,275,0.03123,0.06832,4,,0,ok
Mammalia,Papio anubis,f,125,0.02088,0.03589,4,,0,ok
Mammalia,Coendou prehensilis,m,130,0.02766,0.04831,4,,0,ok
Mammalia,Potorous tridactylus,m,168,0.02111,0.02603,4,,0,ok
Reptilia,Iguana iguana,f,140,0.02066,0.04546,4,,1,bimodal_BC=0.668
Mammalia,Equus africanus,f,83,0.0492,0.07547,4,,1,low_n_dead=83
Aves,Psephotellus dissimilis,f,68,0.02965,0.05954,4,,1,low_n_dead=68
Aves,Scopus umbretta,m,200,0.0321,0.05913,4,,0,ok
Aves,Casuarius casuarius,m,43,0.02947,0.09435,5,10.13,1,low_n_dead=43
Mammalia,Varecia rubra,f,329,0.01661,0.03019,4,,0,ok
Aves,Pterorhinus courtoisi,m,130,0.04996,0.08093,4,,0,ok
Aves,Podargus strigoides,m,189,0.02531,0.04646,4,,0,ok
Mammalia,Sminthopsis crassicaudata,f,171,0.0181,0.0408,4,,0,ok
Mammalia,Elephas maximus,m,87,0.03469,0.11623,5,10.399,2,low_n_dead=87; infant_spike_frac=0.64
Aves,Anas crecca,m,154,0.03182,0.05458,4,,0,ok
Mammalia,Chrysocyon brachyurus,f,475,0.03046,0.04191,4,,0,ok
Mammalia,Leontopithecus chrysomelas,f,487,0.01506,0.03484,4,,0,ok
Aves,Rhynchopsitta pachyrhyncha,f,102,0.02277,0.04943,4,,0,ok
Mammalia,Lama glama,f,1188,0.01764,0.03145,4,,0,ok
Aves,Grus canadensis,f,123,0.03814,0.06264,4,,0,ok
Aves,Bubo bubo,f,166,0.01587,0.03021,4,,0,ok
Mammalia,Panthera pardus,f,737,0.02464,0.04183,4,,0,ok
Aves,Deroptyus accipitrinus,m,49,0.02528,0.05113,4,,1,low_n_dead=49
Aves,Ocyphaps lophotes,m,136,0.01996,0.04777,4,,0,ok
Aves,Tetrao urogallus,m,175,0.03409,0.077,4,,2,infant_spike_frac=0.21; bimodal_BC=0.631
Aves,Mareca sibilatrix,m,308,0.0122,0.02076,4,,0,ok
Mammalia,Atelerix albiventris,m,873,0.01016,0.02391,4,,0,ok
Aves,Mareca penelope,f,190,0.01744,0.03445,4,,0,ok
Aves,Phaps chalcoptera,m,60,0.03491,0.08764,4,,1,low_n_dead=60
Aves,Tragopan satyra,m,122,0.01969,0.04123,4,,0,ok
