class,binSpecies,sex,n_dead,rms,ks_D,ndims,external_hazard,n_flags,flags
Mammalia,Callithrix penicillata,m,127,0.02634,0.06445,4,,0,ok
Mammalia,Rousettus aegyptiacus,m,355,0.0164,0.02295,4,,0,ok
Aves,Leucosarcia melanoleuca,m,66,0.02162,0.0442,4,,1,low_n_dead=66
Reptilia,Trioceros jacksonii,f,102,0.02893,0.07222,4,,0,ok
Mammalia,Sarcophilus harrisii,m,373,0.02399,0.05363,4,,0,ok
Aves,Spheniscus demersus,m,1605,0.02689,0.03827,4,,0,ok
Mammalia,Cynictis penicillata,m,155,0.02208,0.04634,4,,0,ok
Aves,Tadorna tadorna,f,452,0.01338,0.01979,4,,0,ok
Aves,Anas crecca,f,149,0.02201,0.02457,4,,0,ok
Mammalia,Semnopithecus entellus,f,139,0.01865,0.03909,4,,0,ok
Aves,Bucephala clangula,m,206,0.0211,0.03894,4,,0,ok
Aves,Spinus cucullatus,m,55,0.02655,0.04343,4,,1,low_n_dead=55
Aves,Coturnix chinensis,m,331,0.01274,0.02529,4,,0,ok
Mammalia,Leptailurus serval,m,379,0.02099,0.04117,4,,0,ok
Aves,Gyps fulvus,f,50,0.03283,0.05,5,10.225,1,low_n_dead=50
Mammalia,Pteropus vampyrus,f,132,0.02167,0.04944,5,9.085,0,ok
Aves,Dendrocygna viduata,m,852,0.01615,0.02357,4,,0,ok
Mammalia,Arvicola amphibius,f,76,0.02013,0.03855,4,,1,low_n_dead=76
Aves,Ramphocelus bresilius,f,74,0.02473,0.05587,4,,1,low_n_dead=74
Aves,Ciconia ciconia,m,213,0.02251,0.04066,4,,0,ok
Mammalia,Madoqua kirkii,f,336,0.0206,0.01987,4,,0,ok
Aves,Aythya affinis,f,48,0.0171,0.03325,4,,1,low_n_dead=48
Aves,Anas melleri,f,207,0.01636,0.03249,4,,0,ok
Mammalia,Phloeomys pallidus,m,76,0.01933,0.03897,4,,1,low_n_dead=76
Aves,Dromaius novaehollandiae,m,234,0.03216,0.04392,4,,0,ok
Reptilia,Stigmochelys pardalis,f,52,0.02887,0.03875,4,,1,low_n_dead=52
Aves,Lorius lory,m,64,0.03556,0.05184,4,,1,low_n_dead=64
Mammalia,Madoqua kirkii,m,344,0.01737,0.02344,4,,0,ok
Mammalia,Otolemur garnettii,f,44,0.0465,0.08343,4,,1,low_n_dead=44
Mammalia,Saguinus labiatus,m,253,0.01741,0.02803,4,,0,ok
Mammalia,Macaca nemestrina,f,125,0.02497,0.06551,4,,0,ok
Aves,Aix sponsa,f,1208,0.0115,0.02243,4,,0,ok
Mammalia,Perameles gunnii,f,64,0.04312,0.05503,4,,1,low_n_dead=64
Mammalia,Bison bison,m,853,0.02595,0.06043,5,8.765,1,infant_spike_frac=0.57
Mammalia,Bos grunniens,f,502,0.02037,0.03773,4,,0,ok
Mammalia,Arctictis binturong,m,182,0.02163,0.04173,4,,0,ok
Aves,Anser rossii,f,66,0.04431,0.06035,4,,1,low_n_dead=66
Aves,Bucephala clangula,f,169,0.02234,0.03392,4,,0,ok
Mammalia,Sarcophilus harrisii,f,355,0.02331,0.04525,4,,0,ok
Aves,Agapornis nigrigenis,f,185,0.02275,0.03105,4,,0,ok
Mammalia,Eulemur fulvus,m,117,0.02908,0.02449,4,,0,ok
Mammalia,Cervus canadensis,f,688,0.03207,0.05069,4,,0,ok
Aves,Athene cunicularia,f,261,0.02025,0.04253,4,,0,ok
Mammalia,Hypogeomys antimena,m,152,0.01782,0.03895,4,,0,ok
Mammalia,Rattus norvegicus,f,1049,0.0101,0.01336,4,,0,ok
Mammalia,Chinchilla lanigera,f,400,0.0106,0.02019,4,,0,ok
Mammalia,Nasua narica,m,153,0.02978,0.05736,4,,0,ok
Aves,Otus scops,f,73,0.02585,0.05107,4,,1,low_n_dead=73
Mammalia,Phacochoerus africanus,m,269,0.04969,0.09054,4,,0,ok
Mammalia,Vulpes corsac,f,94,0.03159,0.03849,4,,1,low_n_dead=94
Aves,Entomyzon cyanotis,m,72,0.02194,0.07642,5,9.055,2,low_n_dead=72; infant_spike_frac=0.44
Mammalia,Cervus hanglu,f,180,0.03541,0.05863,4,,0,ok
Aves,Aythya novaeseelandiae,f,59,0.03485,0.06321,4,,1,low_n_dead=59
Mammalia,Pongo abelii,m,90,0.02062,0.03951,4,,1,low_n_dead=90
Aves,Cygnus buccinator,m,73,0.02373,0.05486,4,,1,low_n_dead=73
Aves,Ploceus castaneiceps,f,213,0.0193,0.02993,4,,0,ok
Aves,Falco biarmicus,f,52,0.03733,0.05807,4,,1,low_n_dead=52
Aves,Pulsatrix perspicillata,f,56,0.02378,0.04341,4,,1,low_n_dead=56
Mammalia,Redunca fulvorufula,f,96,0.01395,0.02949,4,,1,low_n_dead=96
Mammalia,Mandrillus leucophaeus,m,59,0.02257,0.05079,4,,1,low_n_dead=59
Mammalia,Ursus arctos,m,434,0.05665,0.13864,5,9.187,1,infant_spike_frac=0.54
Aves,Rollulus rouloul,f,1467,0.01525,0.03657,4,,0,ok
Mammalia,Myocastor coypus,f,430,0.04217,0.07094,4,,0,ok
Aves,Threskiornis spinicollis,m,75,0.02756,0.0394,4,,1,low_n_dead=75
Aves,Pitta sordida,m,164,0.02436,0.05671,4,,0,ok
Aves,Oxyura leucocephala,f,158,0.04653,0.10601,4,,1,infant_spike_frac=0.32
Aves,Pteroglossus viridis,f,153,0.02017,0.06285,4,,0,ok
Aves,Euphonia violacea,f,60,0.03184,0.05197,4,,1,low_n_dead=60
Aves,Chalcophaps indica,m,308,0.01526,0.02435,4,,0,ok
Aves,Liocichla omeiensis,f,72,0.03547,0.07131,4,,1,low_n_dead=72
Mammalia,Oryctolagus cuniculus,f,1250,0.01031,0.02119,4,,0,ok
Reptilia,Basiliscus plumifrons,f,361,0.01694,0.03182,4,,0,ok
Aves,Trichoglossus moluccanus,f,620,0.01617,0.01956,4,,0,ok
Mammalia,Leontopithecus rosalia,m,770,0.01985,0.02292,4,,0,ok
Mammalia,Ursus americanus,f,79,0.02346,0.04035,4,,1,low_n_dead=79
Mammalia,Kerodon rupestris,f,232,0.01337,0.02607,4,,0,ok
Aves,Platycercus eximius,f,76,0.03882,0.08028,4,,1,low_n_dead=76
Mammalia,Ursus maritimus,m,149,0.02215,0.04085,4,,0,ok
Aves,Cacatua moluccensis,f,69,0.03431,0.04016,4,,1,low_n_dead=69
Aves,Psittacula derbiana,f,69,0.0257,0.02908,4,,1,low_n_dead=69
Mammalia,Vulpes velox,m,48,0.04368,0.10519,4,,1,low_n_dead=48
Mammalia,Potamochoerus porcus,f,314,0.03753,0.0739,4,,0,ok
Mammalia,Micromys minutus,m,127,0.01505,0.03948,4,,0,ok
Mammalia,Chinchilla lanigera,m,386,0.00916,0.01709,4,,0,ok
Reptilia,Elaphe taeniura,f,100,0.02207,0.05987,4,,0,ok
Aves,Lamprotornis iris,f,59,0.01965,0.05002,4,,1,low_n_dead=59
Mammalia,Zalophus californianus,m,347,0.03846,0.06026,4,,0,ok
Aves,Agapornis canus,m,55,0.03178,0.05908,4,,1,low_n_dead=55
Mammalia,Capra caucasica,m,369,0.03166,0.05266,4,,0,ok
Reptilia,Testudo kleinmanni,f,62,0.04006,0.0962,4,,1,low_n_dead=62
Reptilia,Epicrates cenchria,f,109,0.02972,0.05087,4,,0,ok
Aves,Sarkidiornis melanotos,m,115,0.02609,0.04769,4,,0,ok
Aves,Garrulax leucolophus,f,66,0.02498,0.0492,4,,1,low_n_dead=66
Aves,Tadorna cana,m,65,0.02649,0.05866,4,,1,low_n_dead=65
Mammalia,Ursus americanus,m,81,0.03553,0.0441,4,,1,low_n_dead=81
Aves,Ptilopsis leucotis,f,64,0.02488,0.05244,4,,1,low_n_dead=64
Aves,Mareca strepera,m,131,0.02768,0.04682,4,,0,ok
Mammalia,Meriones unguiculatus,f,107,0.02397,0.05959,4,,0,ok
Mammalia,Notamacropus parma,m,491,0.0142,0.02793,4,,0,ok
Aves,Strix uralensis,f,77,0.02986,0.04895,4,,1,low_n_dead=77
Mammalia,Ursus thibetanus,f,100,0.03136,0.07593,4,,0,ok
Aves,Pycnonotus jocosus,f,80,0.02352,0.0464,4,,1,low_n_dead=80
Mammalia,Gazella spekei,m,338,0.02197,0.04506,4,,0,ok
Mammalia,Semnopithecus entellus,m,114,0.036,0.04433,4,,0,ok
Mammalia,Felis nigripes,m,201,0.02318,0.05026,4,,0,ok
Mammalia,Gazella subgutturosa,f,536,0.01358,0.02987,4,,0,ok
Aves,Dendrocygna arcuata,m,57,0.0363,0.10442,5,9.054,1,low_n_dead=57
Mammalia,Kobus leche,m,999,0.03448,0.07343,4,,0,ok
Aves,Trichoglossus forsteni,m,46,0.03025,0.04695,4,,2,low_n_dead=46; infant_spike_frac=0.22
Aves,Meleagris gallopavo,m,359,0.0152,0.02419,4,,0,ok
Aves,Geopelia cuneata,m,124,0.0258,0.0376,4,,0,ok
Mammalia,Nanger granti,f,267,0.02065,0.03318,4,,0,ok
Mammalia,Cuon alpinus,f,284,0.02198,0.0416,4,,0,ok
Aves,Branta canadensis,f,114,0.02635,0.04456,4,,0,ok
Aves,Trachyphonus erythrocephalus,m,103,0.01726,0.03561,4,,0,ok
Aves,Copsychus saularis,f,58,0.04803,0.09119,4,,2,low_n_dead=58; infant_spike_frac=0.21
Aves,Goura victoria,m,178,0.02441,0.05393,4,,0,ok
Mammalia,Rhinoceros unicornis,f,42,0.04696,0.0864,4,,1,low_n_dead=42
Aves,Lyrurus tetrix,f,108,0.02175,0.0399,4,,0,ok
Mammalia,Galago senegalensis,m,349,0.01917,0.03018,4,,0,ok
Mammalia,Arvicola amphibius,m,93,0.0243,0.06159,4,,1,low_n_dead=93
Aves,Anser canagicus,m,91,0.0209,0.04656,4,,1,low_n_dead=91
Mammalia,Ateles geoffroyi,f,265,0.03653,0.05167,4,,0,ok
Mammalia,Equus asinus,f,370,0.02139,0.02308,4,,0,ok
Mammalia,Monodelphis domestica,m,191,0.0174,0.05452,4,,0,ok
Aves,Numida meleagris,f,446,0.01248,0.02372,4,,0,ok
Aves,Plegadis falcinellus,m,102,0.03016,0.03723,4,,0,ok
Mammalia,Tupaia glis,f,167,0.01766,0.03809,4,,0,ok
Aves,Eudocimus albus,f,72,0.02243,0.04247,4,,1,low_n_dead=72
Mammalia,Saiga tatarica,m,104,0.02989,0.06787,4,,0,ok
Aves,Anser anser,f,180,0.01617,0.04008,4,,0,ok
Mammalia,Alcelaphus buselaphus,m,91,0.0281,0.04827,4,,1,low_n_dead=91
Mammalia,Vulpes corsac,m,85,0.02492,0.04721,4,,1,low_n_dead=85
Aves,Spatula platalea,m,81,0.02194,0.04976,4,,1,low_n_dead=81
Mammalia,Lutra lutra,m,198,0.02168,0.03856,4,,0,ok
Aves,Psephotus haematonotus,m,102,0.02112,0.04169,4,,0,ok
Aves,Eurypyga helias,m,156,0.0321,0.06418,4,,0,ok
Mammalia,Papio hamadryas,m,1001,0.02399,0.03909,4,,0,ok
Aves,Chalcophaps indica,f,316,0.01245,0.03055,4,,0,ok
Amphibia,Peltophryne lemur,m,891,0.01019,0.02827,4,,0,ok
Reptilia,Thamnophis sirtalis,m,216,0.02406,0.03588,4,,0,ok
Chondrichthyes,Potamotrygon motoro,f,110,0.02531,0.06017,4,,0,ok
Reptilia,Petrosaurus thalassinus,m,38,0.04776,0.05534,4,,1,low_n_dead=38
Mammalia,Cebus capucinus,f,49,0.04133,0.05602,4,,1,low_n_dead=49
Mammalia,Camelus dromedarius,m,146,0.02936,0.04389,4,,0,ok
Reptilia,Shinisaurus crocodilurus,f,118,0.01836,0.04891,4,,0,ok
Aves,Zenaida graysoni,f,174,0.02043,0.03617,4,,0,ok
Aves,Falco cherrug,m,73,0.02882,0.04944,4,,1,low_n_dead=73
Aves,Dendrocygna autumnalis,f,167,0.0226,0.04353,4,,0,ok
Aves,Aythya americana,m,273,0.01018,0.02227,4,,0,ok
Mammalia,Alouatta caraya,m,188,0.03894,0.06887,4,,0,ok
Mammalia,Bison bonasus,m,722,0.04345,0.08666,5,8.369,2,high_makeham_h=0.00023/d; infant_spike_frac=0.60
Aves,Branta hutchinsii,m,96,0.0277,0.05371,4,,1,low_n_dead=96
Aves,Threskiornis spinicollis,f,61,0.01784,0.03141,4,,1,low_n_dead=61
Aves,Chenonetta jubata,m,185,0.01475,0.03748,4,,0,ok
Mammalia,Diceros bicornis,f,105,0.03828,0.04082,4,,0,ok
Mammalia,Phascolarctos cinereus,m,509,0.00816,0.02162,4,,0,ok
Reptilia,Sceloporus serrifer,m,99,0.01495,0.02756,4,,1,low_n_dead=99
Aves,Athene noctua,m,147,0.03377,0.06632,4,,0,ok
Aves,Oxyura jamaicensis,m,657,0.02751,0.05473,4,,0,ok
Aves,Anas bahamensis,f,272,0.0143,0.02815,4,,0,ok
Mammalia,Ammotragus lervia,m,1525,0.02701,0.0523,4,,0,ok
Aves,Ploceus castaneiceps,m,184,0.03382,0.0484,4,,0,ok
Aves,Chauna torquata,f,157,0.03182,0.06281,4,,0,ok
Aves,Tragopan caboti,m,85,0.02838,0.05276,4,,1,low_n_dead=85
Aves,Coturnix delegorguei,f,93,0.02795,0.05946,4,,2,low_n_dead=93; bimodal_BC=0.558
Aves,Ciconia nigra,m,71,0.04279,0.05763,4,,1,low_n_dead=71
Mammalia,Ovis aries,f,4940,0.02278,0.05608,4,,2,infant_spike_frac=0.23; bimodal_BC=0.758
Aves,Columba livia,m,269,0.02777,0.03308,4,,0,ok
Aves,Nestor notabilis,m,168,0.01658,0.03809,4,,0,ok
Reptilia,Eunectes notaeus,f,82,0.02567,0.04226,4,,1,low_n_dead=82
Mammalia,Syncerus caffer,f,382,0.03672,0.07217,4,,0,ok
Aves,Ptilinopus regina,f,59,0.034,0.0938,4,,1,low_n_dead=59
Aves,Bubulcus ibis,m,302,0.01009,0.02231,4,,0,ok
Mammalia,Equus africanus,m,76,0.02285,0.05346,5,9.353,2,low_n_dead=76; infant_spike_frac=0.25
Mammalia,Macropus fuliginosus,f,340,0.0251,0.04972,4,,0,ok
Mammalia,Macaca mulatta,m,84,0.04301,0.07226,4,,1,low_n_dead=84
Aves,Liocichla omeiensis,m,67,0.02932,0.06559,4,,1,low_n_dead=67
Aves,Anthropoides paradiseus,f,82,0.01382,0.03039,4,,1,low_n_dead=82
Aves,Rhea pennata,f,247,0.03021,0.05588,4,,0,ok
Aves,Balearica regulorum,f,343,0.01687,0.02896,4,,0,ok
Aves,Agapornis roseicollis,m,79,0.04852,0.0951,4,,1,low_n_dead=79
Aves,Ptilinopus melanospilus,m,161,0.03179,0.06259,4,,0,ok
Mammalia,Callosciurus prevostii,f,250,0.00818,0.02154,4,,0,ok
Mammalia,Leporillus conditor,f,64,0.02466,0.05859,4,,1,low_n_dead=64
Mammalia,Alces alces,m,353,0.02682,0.04494,4,,0,ok
Aves,Grus vipio,f,159,0.02105,0.03015,4,,0,ok
Reptilia,Chilabothrus subflavus,m,142,0.02061,0.04239,5,9.132,0,ok
Amphibia,Peltophryne lemur,f,871,0.00744,0.02053,4,,0,ok
Mammalia,Panthera uncia,f,609,0.02272,0.04052,4,,0,ok
Mammalia,Rusa timorensis,f,77,0.03049,0.04556,4,,1,low_n_dead=77
Reptilia,Crotalus durissus,f,176,0.02992,0.06052,4,,0,ok
Reptilia,Python molurus,m,56,0.02031,0.03988,4,,1,low_n_dead=56
Mammalia,Equus caballus,m,1012,0.02336,0.04877,4,,0,ok
Aves,Anas melleri,m,216,0.01937,0.04165,4,,0,ok
Mammalia,Canis aureus,f,83,0.02245,0.04164,4,,1,low_n_dead=83
Amphibia,Leptodactylus fallax,f,133,0.02199,0.05189,4,,0,ok
Mammalia,Bos gaurus,f,201,0.03563,0.07691,4,,0,ok
Aves,Burhinus capensis,m,56,0.0358,0.05979,4,,1,low_n_dead=56
Mammalia,Hydropotes inermis,f,121,0.02797,0.04765,4,,0,ok
Aves,Colinus virginianus,m,316,0.0139,0.0222,4,,0,ok
Aves,Dendrocygna eytoni,f,121,0.01747,0.02727,4,,0,ok
Aves,Stictonetta naevosa,m,48,0.02817,0.03894,4,,1,low_n_dead=48
Aves,Rhea americana,f,639,0.00905,0.01931,4,,0,ok
Reptilia,Varanus komodoensis,m,109,0.02255,0.04458,4,,0,ok
Mammalia,Budorcas taxicolor,f,152,0.02842,0.07047,4,,0,ok
Amphibia,Dendrobates auratus,f,190,0.01545,0.04628,4,,0,ok
Mammalia,Gazella cuvieri,m,113,0.01419,0.03985,4,,0,ok
Aves,Eudocimus albus,m,68,0.02592,0.04171,4,,1,low_n_dead=68
Aves,Panurus biarmicus,m,71,0.02717,0.04929,4,,1,low_n_dead=71
Aves,Caloenas nicobarica,m,412,0.02233,0.0341,4,,0,ok
Mammalia,Elephantulus rufescens,m,107,0.01691,0.04474,4,,0,ok
Aves,Ara rubrogenys,f,66,0.04431,0.05706,4,,1,low_n_dead=66
Reptilia,Eublepharis macularius,m,175,0.01679,0.04283,4,,0,ok
Mammalia,Saiga tatarica,f,181,0.01986,0.04322,4,,0,ok
Aves,Bucorvus abyssinicus,m,41,0.0225,0.05345,4,,1,low_n_dead=41
Mammalia,Carollia perspicillata,m,177,0.02491,0.05364,4,,0,ok
Mammalia,Varecia rubra,m,387,0.02304,0.05265,4,,0,ok
Aves,Guttera pucherani,m,140,0.03504,0.04374,4,,0,ok
Aves,Aix sponsa,m,1365,0.01692,0.02352,4,,0,ok
Mammalia,Saguinus labiatus,f,300,0.01339,0.0183,4,,0,ok
Mammalia,Mesocricetus auratus,f,70,0.03054,0.04406,4,,1,low_n_dead=70
Aves,Psitteuteles goldiei,f,91,0.02652,0.05779,4,,1,low_n_dead=91
Mammalia,Lynx canadensis,m,64,0.03045,0.04718,4,,1,low_n_dead=64
Reptilia,Pantherophis obsoletus,m,93,0.0293,0.06154,4,,1,low_n_dead=93
Mammalia,Antidorcas marsupialis,f,887,0.01041,0.01742,4,,0,ok
Mammalia,Rusa unicolor,m,182,0.02285,0.05551,4,,0,ok
Aves,Dacelo novaeguineae,f,327,0.02087,0.0376,4,,0,ok
Mammalia,Vicugna vicugna,f,242,0.03347,0.05919,4,,0,ok
Mammalia,Gazella dorcas,m,594,0.01347,0.03989,4,,0,ok
Mammalia,Cercopithecus neglectus,m,214,0.02745,0.04703,4,,0,ok
Aves,Goura victoria,f,175,0.02201,0.04313,4,,0,ok
Aves,Falco peregrinus,m,61,0.03308,0.06061,4,,1,low_n_dead=61
Aves,Tyto alba,m,335,0.02378,0.04616,4,,0,ok
Aves,Tauraco leucotis,m,98,0.02599,0.03892,4,,1,low_n_dead=98
Mammalia,Pongo abelii,f,121,0.03373,0.03001,4,,0,ok
Aves,Cyanopica cyanus,f,139,0.01553,0.03008,4,,0,ok
Reptilia,Pituophis ruthveni,m,55,0.02929,0.04789,4,,1,low_n_dead=55
Mammalia,Hystrix indica,f,207,0.02503,0.04434,4,,0,ok
Mammalia,Acomys cahirinus,f,171,0.0228,0.04226,4,,0,ok
Mammalia,Oryx gazella,f,566,0.03212,0.06156,4,,0,ok
Mammalia,Capra hircus,f,6374,0.02572,0.05322,4,,0,ok
Aves,Serinus canaria,m,62,0.02637,0.03744,5,8.418,2,low_n_dead=62; high_makeham_h=0.00022/d
Aves,Syrmaticus ellioti,m,71,0.02935,0.05071,4,,1,low_n_dead=71
Mammalia,Hystrix indica,m,187,0.01865,0.03927,4,,0,ok
Mammalia,Cuniculus paca,f,105,0.01636,0.04267,4,,0,ok
Aves,Tadorna tadorna,m,489,0.01539,0.02526,4,,0,ok
Reptilia,Lygodactylus williamsi,f,104,0.02436,0.05094,4,,0,ok
Aves,Mareca penelope,m,172,0.01454,0.03187,4,,0,ok
Mammalia,Camelus bactrianus,f,794,0.01879,0.04061,4,,0,ok
Reptilia,Alligator mississippiensis,f,61,0.03566,0.03638,4,,1,low_n_dead=61
Mammalia,Tamiops swinhoei,m,68,0.03133,0.07363,4,,1,low_n_dead=68
Mammalia,Hystrix cristata,f,133,0.0136,0.02606,4,,0,ok
Aves,Ara rubrogenys,m,70,0.03069,0.04984,5,9.596,1,low_n_dead=70
Aves,Cacatua moluccensis,m,46,0.10414,0.05458,5,10.729,2,low_n_dead=46; poor_rms=0.1041
Aves,Mergus merganser,m,129,0.02996,0.05362,4,,0,ok
Mammalia,Notamacropus rufogriseus,m,2082,0.00711,0.01249,4,,0,ok
Aves,Leiothrix lutea,f,92,0.01769,0.05887,4,,1,low_n_dead=92
Mammalia,Sciurus vulgaris,f,158,0.01846,0.0435,4,,0,ok
Aves,Tauraco persa,m,56,0.03539,0.0729,4,,1,low_n_dead=56
Aves,Momotus momota,f,127,0.02304,0.05122,4,,0,ok
Aves,Dacelo novaeguineae,m,283,0.03116,0.05287,4,,0,ok
Mammalia,Cervus canadensis,m,561,0.04948,0.08002,4,,0,ok
Aves,Syrmaticus ellioti,f,77,0.01946,0.03989,4,,1,low_n_dead=77
Aves,Pygoscelis antarcticus,f,57,0.03173,0.02393,5,10.391,1,low_n_dead=57
Mammalia,Pecari tajacu,f,644,0.02824,0.05469,4,,0,ok
Mammalia,Petrogale penicillata,m,86,0.03241,0.08147,4,,2,low_n_dead=86; infant_spike_frac=0.23
Mammalia,Callimico goeldii,f,728,0.00687,0.0192,4,,0,ok
Aves,Ara chloropterus,f,111,0.03353,0.05986,4,,0,ok
Aves,Syrmaticus reevesii,m,146,0.02911,0.05852,4,,0,ok
Aves,Aythya valisineria,m,75,0.03081,0.05863,4,,1,low_n_dead=75
Aves,Pelecanus crispus,m,149,0.03677,0.0633,4,,0,ok
Aves,Plegadis ridgwayi,f,76,0.01717,0.03669,4,,1,low_n_dead=76
Aves,Pogonornis dubius,m,56,0.04089,0.09069,4,,1,low_n_dead=56
Aves,Mareca americana,f,69,0.03061,0.07802,4,,1,low_n_dead=69
Mammalia,Tamandua tetradactyla,f,73,0.03972,0.08106,4,,1,low_n_dead=73
Aves,Mareca falcata,f,181,0.02303,0.04503,4,,0,ok
Mammalia,Papio anubis,m,90,0.02609,0.06502,5,9.263,2,low_n_dead=90; infant_spike_frac=0.50
Mammalia,Capra aegagrus,m,344,0.04925,0.08759,4,,1,infant_spike_frac=0.26
Aves,Sarkidiornis melanotos,f,166,0.01864,0.04094,4,,0,ok
Aves,Anas flavirostris,m,90,0.02157,0.04932,4,,1,low_n_dead=90
Mammalia,Lepus timidus,f,84,0.02819,0.05581,4,,1,low_n_dead=84
Mammalia,Symphalangus syndactylus,f,155,0.03333,0.04709,4,,0,ok
Aves,Pelecanus onocrotalus,m,160,0.03981,0.04601,4,,0,ok
Mammalia,Petaurus breviceps,f,414,0.01247,0.02866,4,,0,ok
Aves,Athene noctua,f,113,0.02181,0.03617,4,,0,ok
Mammalia,Panthera tigris,m,1658,0.03941,0.07686,4,,0,ok
Aves,Aythya nyroca,f,343,0.01015,0.02111,4,,0,ok
Aves,Acryllium vulturinum,m,363,0.01829,0.04241,4,,1,bimodal_BC=0.622
Chondrichthyes,Potamotrygon leopoldi,m,58,0.04715,0.07923,4,,1,low_n_dead=58
Aves,Artamus superciliosus,f,57,0.02856,0.063,4,,1,low_n_dead=57
Reptilia,Eunectes notaeus,m,59,0.02262,0.04067,4,,1,low_n_dead=59
Mammalia,Cavia aperea,m,245,0.02626,0.04258,5,7.053,2,high_makeham_h=0.00087/d; bimodal_BC=0.587
Mammalia,Cephalophus silvicultor,m,98,0.0285,0.0504,4,,1,low_n_dead=98
Aves,Scissirostrum dubium,f,233,0.01121,0.02197,4,,0,ok
Mammalia,Neofelis nebulosa,f,215,0.02914,0.08273,4,,0,ok
Aves,Merops nubicus,f,85,0.04167,0.06306,4,,1,low_n_dead=85
Reptilia,Lampropeltis polyzona,f,82,0.02137,0.03707,4,,1,low_n_dead=82
Aves,Aix galericulata,f,1291,0.01672,0.01582,4,,0,ok
Aves,Urocolius macrourus,f,121,0.03339,0.06466,4,,0,ok
Mammalia,Herpailurus yagouaroundi,f,89,0.04447,0.0933,4,,1,low_n_dead=89
Mammalia,Cynomys ludovicianus,m,365,0.02634,0.04709,4,,0,ok
Mammalia,Castor canadensis,m,139,0.01569,0.03967,4,,0,ok
Aves,Polyplectron inopinatum,f,100,0.02297,0.05097,4,,0,ok
Mammalia,Osphranter rufus,m,1375,0.0073,0.01992,4,,0,ok
Aves,Netta rufina,m,730,0.01843,0.02749,4,,0,ok
Mammalia,Potos flavus,m,50,0.04408,0.04894,4,,1,low_n_dead=50
Aves,Spheniscus humboldti,f,2165,0.01503,0.02254,4,,0,ok
Aves,Ciconia abdimii,m,98,0.02567,0.04669,4,,1,low_n_dead=98
Mammalia,Felis chaus,m,141,0.02728,0.07379,4,,0,ok
Aves,Spatula querquedula,f,133,0.02275,0.05128,4,,0,ok
Reptilia,Lampropeltis abnorma,f,48,0.02687,0.05173,4,,1,low_n_dead=48
Mammalia,Nomascus leucogenys,m,51,0.03209,0.05173,4,,1,low_n_dead=51
Mammalia,Ovibos moschatus,m,184,0.01651,0.05153,4,,0,ok
Aves,Amazona aestiva,f,60,0.02349,0.05221,4,,1,low_n_dead=60
Mammalia,Boselaphus tragocamelus,f,937,0.02663,0.05287,4,,0,ok
Aves,Eclectus roratus,m,277,0.02873,0.09094,4,,1,infant_spike_frac=0.35
Mammalia,Macropus giganteus,f,385,0.02804,0.04992,4,,0,ok
Aves,Lophodytes cucullatus,m,679,0.01447,0.02695,4,,0,ok
Aves,Eurypyga helias,f,196,0.01111,0.02479,4,,0,ok
Mammalia,Procyon lotor,f,353,0.02087,0.03181,4,,0,ok
Aves,Geopelia cuneata,f,163,0.02144,0.0431,4,,0,ok
Aves,Amazona leucocephala,m,46,0.03281,0.06375,4,,1,low_n_dead=46
Aves,Phoeniconaias minor,m,34,0.02529,0.04359,5,10.055,1,low_n_dead=34
Mammalia,Mico argentatus,m,206,0.01914,0.03397,4,,0,ok
Mammalia,Trachypithecus auratus,m,127,0.02633,0.04069,4,,0,ok
Mammalia,Ceratotherium simum,f,92,0.031,0.08324,5,10.416,2,low_n_dead=92; infant_spike_frac=0.66
Mammalia,Vulpes zerda,f,362,0.03188,0.06933,4,,0,ok
Mammalia,Pseudomys australis,f,75,0.02855,0.07554,4,,1,low_n_dead=75
Aves,Gallus gallus,m,1398,0.01438,0.04268,4,,0,ok
Aves,Branta leucopsis,m,219,0.01807,0.02954,4,,0,ok
Reptilia,Centrochelys sulcata,m,65,0.0398,0.06526,4,,1,low_n_dead=65
Aves,Spheniscus humboldti,m,2065,0.02544,0.03884,4,,0,ok
Aves,Balearica regulorum,m,322,0.01103,0.01754,4,,0,ok
Aves,Tauraco persa,f,68,0.0236,0.03179,4,,1,low_n_dead=68
Aves,Momotus momota,m,114,0.01992,0.04077,4,,0,ok
Mammalia,Saguinus bicolor,m,174,0.01561,0.03795,4,,0,ok
Mammalia,Saimiri sciureus,f,895,0.01621,0.02176,4,,0,ok
Mammalia,Catagonus wagneri,f,45,0.04135,0.09336,4,,1,low_n_dead=45
Mammalia,Zalophus californianus,f,418,0.04599,0.07717,4,,0,ok
Mammalia,Sminthopsis crassicaudata,m,129,0.02807,0.06145,4,,0,ok
Aves,Pycnonotus jocosus,m,64,0.04254,0.04596,4,,1,low_n_dead=64
Aves,Platalea alba,m,111,0.02292,0.05323,4,,0,ok
Aves,Tadorna cana,f,77,0.01894,0.05712,4,,1,low_n_dead=77
Aves,Spatula hottentota,m,202,0.0341,0.05323,4,,0,ok
Aves,Lophura swinhoii,f,160,0.01725,0.03009,4,,0,ok
Aves,Myiopsitta monachus,m,110,0.04014,0.0998,4,,0,ok
Aves,Spatula versicolor,m,58,0.03165,0.0557,4,,1,low_n_dead=58
Aves,Columba livia,f,254,0.02087,0.04143,4,,0,ok
Mammalia,Leontocebus fuscicollis,f,100,0.01607,0.03609,4,,0,ok
