class,binSpecies,sex,n,n_dead,infant_cutoff_d,ndims,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,s,beta_xc_eps,external_hazard
Mammalia,Nanger dama,f,1971,1087,180.62557840616967,4,3196.1393126887265,0.0228529827042284,removal,71.09922781772912,6.808972155183206,23.74715105981888,4.026526367628901,0.001044066408909,-5.052162366493194,0.6480525616799231,5.897676779353329,
Mammalia,Trichosurus vulpecula,m,107,52,130.0418604651163,4,2932.4318706915587,0.0185731070230983,removal,198.43171588983387,7.50848332257805,34.76026561081582,4.999235196881659,0.0571158834756969,-6.202153475169006,0.5481160772791137,6.953116675226244,
Mammalia,Gorilla gorilla,m,558,161,580.435390946502,4,12706.24032842504,0.0248453302047412,removal,44.12519992701709,3.700932801858871,4.572054565570779,0.5853404905909259,0.2440444080496644,-4.6495812409863975,3.2866013749401257,7.810931652712249,
Aves,Bostrychia hagedash,m,89,36,183.33283582089555,4,6489.966241834715,0.0424820597178426,removal,417.1524357611779,2.8313731119046883,97.76547302396476,13.987161853082752,0.0055062776329092,-6.888444380643028,0.1203009207629197,6.989657662567004,
Aves,Garrulax leucolophus,m,149,71,272.75,4,5073.063327921924,0.0164240875592803,removal,79.27544912975281,2.223197826262004,7.039909364632122,1.7332367609540162,0.0010007599333431,-3.4203696719645107,0.8602628389988913,4.061712469540042,
Aves,Phalacrocorax carbo,f,153,97,317.48,4,4455.515583301464,0.0208308785305615,removal,83.37699658796191,6.002168349581585,23.890698996266853,4.159438585346696,0.0010367690946141,-5.022219800303861,0.5890055268365001,5.743731637349208,
Mammalia,Giraffa camelopardalis,f,2808,1463,394.71527068437183,4,6530.94346510078,0.0135807400463445,removal,59.79559890087694,7.745327880489096,17.60734666993408,2.917673893231518,0.001042979569268,-4.707408446691573,0.9538567431842911,6.034720573392379,
Aves,Bucephala islandica,f,140,80,181.82777777777775,4,3492.7317159699355,0.0300674622318914,removal,80.90208892105147,2.412769758772496,12.601822401914577,2.0072598385992597,0.2087625855711152,-5.677111305370654,0.7738456490909071,6.278122124292886,
Aves,Chloebia gouldiae,m,1201,764,113.16533333333336,4,1572.0255267570922,0.006032754949015,removal,85.48410387011245,1.0704276879130756,1.6977789504893877,0.7484128779868825,0.0010001480867137,-1.5533740008055104,1.3824117459919858,2.268505794630574,
Mammalia,Castor canadensis,f,309,135,238.21235294117648,4,4162.174951347198,0.024111413393584,removal,107.5576069969684,6.238066469892438,25.217966667269657,4.391741364170562,0.0010350132081721,-5.031929615121384,0.56870656682856,5.742133831697624,
Mammalia,Potamochoerus porcus,m,550,260,182.6060215053764,4,4358.9308730569455,0.0392515450794407,removal,62.85823354590684,10.313812967129316,20.434137866210516,3.05691331208734,0.0010617849023164,-4.997600462609836,1.0505736470072504,6.684565697500121,
Chondrichthyes,Hypanus americanus,m,170,56,86.27093023255814,4,3272.7586847966,0.0309890235050052,removal,381.6967477193102,4.1266717198082405,227.9979185884173,29.64585846767624,0.0010079022520622,-7.621117903360982,0.068522930805094,7.690717367385742,
Aves,Tangara mexicana,m,175,123,105.66625,4,1999.88931152652,0.0157476600338893,removal,132.32227505301125,0.8135820018797008,16.33722257306531,2.714971181312375,0.2159428582500034,-5.86762455593541,0.3322273960203061,6.017457085923155,
Mammalia,Callimico goeldii,m,1098,812,248.4927638190955,4,3819.487733108879,0.008076202643777,removal,78.8948660963215,2.3004619399590047,7.706215072095264,1.4091616042796928,0.2087124443793584,-4.652400464364709,1.0763331711935369,5.468652458803243,
Mammalia,Callithrix geoffroyi,f,940,700,186.7695284159613,4,2838.947072408432,0.0081934577531949,removal,60.620641864836216,0.8499345139136222,4.453419528917927,1.0683479816499042,0.2729212552950396,-3.770730455951039,0.8629388046437005,4.16851026576592,
Aves,Cochlearius cochlearius,m,274,156,190.88008849557525,4,4872.624323187862,0.0296227788458465,removal,269.18693758687004,0.0007378054250504,63.21174586372733,10.371226807025062,0.001239169957025,-6.094879432990309,0.0026190319122612,6.094915002814342,
Mammalia,Oryx dammah,m,3276,1267,134.62579979360166,4,3700.4009541068817,0.0258836047305129,removal,128.12381785036996,5.801042083353198,62.96033345381045,9.593161087626884,0.009418653455352,-6.260690492271427,0.2510679467196895,6.563043493037529,
Mammalia,Oreamnos americanus,f,347,237,248.38636363636363,4,3682.012545178525,0.0203259303304184,removal,78.60617361590266,6.869815518561077,22.55178138061329,3.874295899200319,0.0010237013429027,-4.93428331720316,0.6765186140509967,5.820872222296735,
Mammalia,Callithrix penicillata,f,206,112,173.00234375000002,4,3178.37581545793,0.0273416501701227,production,61.5949988309294,0.6571309871232448,0.0001000000173142,0.4368527072403821,4.999999990591306,0.7518907130488882,1.855628106574412,0.000228910146731,
Aves,Fratercula cirrhata,f,184,101,353.6591666666667,4,5890.056038980791,0.0183848442445328,removal,69.23022653185762,6.718954317529,19.79518489996288,3.423999733478599,0.0010399260923219,-4.8001486625411,0.7570370277154287,5.781304451169463,
Aves,Apteryx mantelli,f,227,68,172.25473684210527,4,4357.551702581329,0.0269421422830695,removal,258.9236923181452,0.5721638524091698,1.134195405878103,0.7358809221648029,0.0010002496824472,-1.1525145633325449,1.0279042567091938,1.5412757305102365,
Mammalia,Colobus guereza,f,1270,791,355.16067907995625,4,5236.493357746464,0.0069762570684301,removal,83.4283751139883,1.9287834370992376,7.769530918614905,1.4220437097832397,0.2066547232176459,-4.785464155038234,0.9766271386742288,5.463637204090728,
Mammalia,Myoprocta pratti,f,261,217,177.6764940239044,4,2232.109427146961,0.013619435067851,removal,68.20165598392487,3.0859833229084157,9.934366720965787,1.5838676701000585,0.211741908970744,-5.298027870586857,1.1091183568431269,6.272220153554999,
Aves,Oxyura jamaicensis,f,1286,683,99.23231323132312,4,3059.8081446541114,0.0307434017400998,removal,208.1201812741347,0.0060851009851298,75.70683912469009,12.17082392644942,0.0010498383002695,-6.220104491831434,0.0064093489273309,6.220354479055878,
Aves,Columba guinea,f,339,160,235.91235955056183,4,4342.31850864734,0.0122100347981648,removal,288.17534008598886,0.1707467017083005,1.2716752788263062,0.8056315025047907,0.0010000000002012,-1.4725118423048529,0.5129082936201218,1.578482562899462,
Mammalia,Speothos venaticus,m,443,300,183.626,4,3088.164068877173,0.0385416752817877,removal,59.36023591179401,9.369477731826018,18.719550150348983,2.877366320626887,0.0010576013965383,-4.877658845112997,1.0638062456918629,6.505793167923987,
Mammalia,Lynx lynx,f,911,386,312.0841035120148,4,5650.61242310295,0.0408454134850457,removal,46.95669005508535,11.77442147027958,19.837587179314585,2.78205726628539,0.001049154687044,-5.014410239944978,1.2333993732985735,7.130545952349061,
