binSpecies,genus,family,order,confidence,common_name
Trioceros jacksonii,Trioceros,Chamaeleonidae,,99,Jackson's Chameleon
Sarcophilus harrisii,Sarcophilus,Dasyuridae,Dasyuromorphia,99,Bear Devil
Callithrix penicillata,Callithrix,Callitrichidae,Primates,99,Black-penciled Marmoset
Rousettus aegyptiacus,Rousettus,Pteropodidae,Chiroptera,99,Egyptian Fruit Bat
Gyps fulvus,Gyps,Accipitridae,Accipitriformes,99,EUGR
Tadorna tadorna,Tadorna,Anatidae,Anseriformes,99,COSH
Semnopithecus entellus,Semnopithecus,Cercopithecidae,Primates,99,Bengal Gray Langur
Pteropus vampyrus,Pteropus,Pteropodidae,Chiroptera,99,Andersen's Flying Fox
Coturnix chinensis,Synoicus,Phasianidae,Galliformes,98,Blue-breasted Quail
Bucephala clangula,Bucephala,Anatidae,Anseriformes,99,Butterball
Anas melleri,Anas,Anatidae,Anseriformes,99,Meller's Duck
Stigmochelys pardalis,Stigmochelys,Testudinidae,,99,Eastern Leopard Tortoise
Madoqua kirkii,Madoqua,Bovidae,Artiodactyla,99,Kirk's Dik-dik
Arvicola amphibius,Arvicola,Cricetidae,Rodentia,99,Eurasian Water Vole
Saguinus labiatus,Saguinus,Callitrichidae,Primates,99,Geoffroy's Red-bellied Tamarin
Macaca nemestrina,Macaca,Cercopithecidae,Primates,99,Pig-tailed Macaque
Aix sponsa,Aix,Anatidae,Anseriformes,99,American Wood Duck
Bos grunniens,Bos,Bovidae,Artiodactyla,99,Domestic Yak
Cervus canadensis,Cervus,Cervidae,Artiodactyla,98,Alashan Wapiti
Anser rossii,Anser,Anatidae,Anseriformes,99,Horned Wary Ross’ Goose
Chinchilla lanigera,Chinchilla,Chinchillidae,Rodentia,97,Chilean Chinchilla
Rattus norvegicus,Rattus,Muridae,Rodentia,99,Brown Rat
Otus scops,Otus,Strigidae,Strigiformes,99,Common Scops Owl
Phacochoerus africanus,Phacochoerus,Suidae,Artiodactyla,99,African Boar
Aythya novaeseelandiae,Aythya,Anatidae,Anseriformes,99,Black Teal
Vulpes corsac,Vulpes,Canidae,Carnivora,99,Corsac
Falco biarmicus,Falco,Falconidae,Falconiformes,99,
Pongo abelii,Pongo,Hominidae,Primates,99,Sumatran Orangutan
Cygnus buccinator,Cygnus,Anatidae,Anseriformes,99,Trumpeter Swan
Ploceus castaneiceps,Ploceus,Ploceidae,Passeriformes,99,TGWE
Pulsatrix perspicillata,Pulsatrix,Strigidae,Strigiformes,99,
Mandrillus leucophaeus,Mandrillus,Cercopithecidae,Primates,99,Bioko Drill (poensis)
Rollulus rouloul,Rollulus,Phasianidae,Galliformes,99,Crested Partridge
Myocastor coypus,Myocastor,Myocastoridae,Rodentia,99,
Oxyura leucocephala,Oxyura,Anatidae,Anseriformes,99,
Threskiornis spinicollis,Threskiornis,Threskiornithidae,Pelecaniformes,99,Straw-necked Ibis
Pitta sordida,Pitta,Pittidae,Passeriformes,99,Hooded Pitta
Chalcophaps indica,Chalcophaps,Columbidae,Columbiformes,99,Asian Emerald Dove
Oryctolagus cuniculus,Oryctolagus,Leporidae,Lagomorpha,99,Common Rabbit
Basiliscus plumifrons,Basiliscus,Corytophanidae,,99,Basiisk Verde
Pteroglossus viridis,Pteroglossus,Ramphastidae,Piciformes,99,Green Aracari
Liocichla omeiensis,Liocichla,Leiothrichidae,Passeriformes,99,Emei Shan Liocichla
Kerodon rupestris,Kerodon,Caviidae,Rodentia,99,Moco
Ursus americanus,Ursus,Ursidae,Carnivora,99,American Black Bear
Leontopithecus rosalia,Leontopithecus,Callitrichidae,Primates,99,Golden Lion Tamarin
Cacatua moluccensis,Cacatua,Psittacidae,Psittaciformes,99,Moluccan Cockatoo
Potamochoerus porcus,Potamochoerus,Suidae,Artiodactyla,99,African Bush Pig
Vulpes velox,Vulpes,Canidae,Carnivora,99,Swift Fox
Micromys minutus,Micromys,Muridae,Rodentia,99,Eurasian Harvest Mouse
Zalophus californianus,Zalophus,Otariidae,Carnivora,99,California Sea Lion
Lamprotornis iris,Lamprotornis,Sturnidae,Passeriformes,99,EMST
Agapornis canus,Agapornis,Psittacidae,Psittaciformes,99,Gray-headed Lovebird
Testudo kleinmanni,Testudo,Testudinidae,,99,Egyptian Tortoise
Tadorna cana,Tadorna,Anatidae,Anseriformes,99,African Shelduck
Meriones unguiculatus,Meriones,Muridae,Rodentia,99,Clawed Jird
Sarkidiornis melanotos,Sarkidiornis,Anatidae,Anseriformes,99,African Comb Duck
Garrulax leucolophus,Garrulax,Leiothrichidae,Passeriformes,99,White-crested Laughingthrush
Strix uralensis,Strix,Strigidae,Strigiformes,99,
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,99,
Dendrocygna arcuata,Dendrocygna,Anatidae,Anseriformes,99,Wandering Whistling Duck
Gazella subgutturosa,Gazella,Bovidae,Artiodactyla,99,Goitered Gazelle
Trichoglossus forsteni,Trichoglossus,Psittacidae,Psittaciformes,99,Scarlet-breasted Lorikeet
Cuon alpinus,Cuon,Canidae,Carnivora,99,Asian Wild Dog
Geopelia cuneata,Geopelia,Columbidae,Columbiformes,99,Diamond Dove
Goura victoria,Goura,Columbidae,Columbiformes,99,Victoria Crowned Pigeon
Trachyphonus erythrocephalus,Trachyphonus,Lybiidae,Piciformes,99,RAYB
Copsychus saularis,Copsychus,Muscicapidae,Passeriformes,99,Oriental Magpie Robin
Lyrurus tetrix,Lyrurus,Phasianidae,Galliformes,99,Black Grouse
Rhinoceros unicornis,Rhinoceros,Rhinocerotidae,Perissodactyla,99,Greater Indian one-horned rhinoceros
Eudocimus albus,Eudocimus,Threskiornithidae,Pelecaniformes,99,American White Ibis
Lutra lutra,Lutra,Mustelidae,Carnivora,99,Common Otter
Anser canagicus,Anser,Anatidae,Anseriformes,99,Emperor Goose
Equus asinus,Equus,Equidae,Perissodactyla,99,African Wild Ass
Saiga tatarica,Saiga,Bovidae,Artiodactyla,99,Mongolian Saiga
Alcelaphus buselaphus,Alcelaphus,Bovidae,Artiodactyla,99,Bubal Hartebeest
Peltophryne lemur,Peltophryne,Bufonidae,Anura,99,Puerto Rican Crested Toad
Thamnophis sirtalis,Thamnophis,Colubridae,,99,Common Garter Snake
Eurypyga helias,Eurypyga,Eurypygidae,Eurypygiformes,99,Sunbittern
Zenaida graysoni,Zenaida,Columbidae,Columbiformes,99,Socorro Dove
Shinisaurus crocodilurus,Shinisaurus,Shinisauridae,,99,Chinese Crocodile Lizard
Diceros bicornis,Diceros,Rhinocerotidae,Perissodactyla,99,African black rhinoceros
Dendrocygna autumnalis,Dendrocygna,Anatidae,Anseriformes,99,Black-bellied Whistling Duck
Alouatta caraya,Alouatta,Atelidae,Primates,99,Black Howler
Sceloporus serrifer,Sceloporus,Phrynosomatidae,,99,Blue Spiny Lizard
Athene noctua,Athene,Strigidae,Strigiformes,99,Cucumiau
Columba livia,Columba,Columbidae,Columbiformes,99,Common Pigeon
Eunectes notaeus,Eunectes,Boidae,,99,
Ammotragus lervia,Ammotragus,Bovidae,Artiodactyla,99,African Wild Sheep
Oxyura jamaicensis,Oxyura,Anatidae,Anseriformes,99,
Ptilinopus regina,Ptilinopus,Columbidae,Columbiformes,99,Rose-crowned Fruit Dove
Anthropoides paradiseus,Anthropoides,Gruidae,Gruiformes,99,Blue Crane
Balearica regulorum,Balearica,Gruidae,Gruiformes,99,African Crowned Crane
Ptilinopus melanospilus,Ptilinopus,Columbidae,Columbiformes,99,Black-naped Fruit Dove
Leporillus conditor,Leporillus,Muridae,Rodentia,98,Greater Stick-nest Rat
Python molurus,Python,Pythonidae,,99,Asian Rock Python
Crotalus durissus,Crotalus,Viperidae,,97,Cascabel Rattlesnake
Equus caballus,Equus,Equidae,Perissodactyla,99,Alberta Mountain Horse
Burhinus capensis,Burhinus,Burhinidae,Charadriiformes,99,Cape Thick-knee
Stictonetta naevosa,Stictonetta,Anatidae,Anseriformes,99,Freckled Duck
Rhea americana,Rhea,Rheidae,Rheiformes,99,Common Rhea
Varanus komodoensis,Varanus,Varanidae,,99,Komodo Dragon
Caloenas nicobarica,Caloenas,Columbidae,Columbiformes,99,Nicobar Dove
Panurus biarmicus,Panurus,Panuridae,Passeriformes,99,Bearded Parrotbill
Eublepharis macularius,Eublepharis,Eublepharidae,,99,Common Leopard Gecko
Ara rubrogenys,Ara,Psittacidae,Psittaciformes,99,Red-fronted Macaw
Mesocricetus auratus,Mesocricetus,Cricetidae,Rodentia,99,Golden Hamster
Carollia perspicillata,Carollia,Phyllostomidae,Chiroptera,99,Common Short-tailed Bat
Pantherophis obsoletus,Pantherophis,Colubridae,,99,Black Rat Snake
Rusa unicolor,Rusa,Cervidae,Artiodactyla,99,Indian Sambar
Psitteuteles goldiei,Psitteuteles,Psittacidae,Psittaciformes,99,Goldie's Lorikeet
Dacelo novaeguineae,Dacelo,Alcedinidae,Coraciiformes,99,Laughing Jackass
Hystrix indica,Hystrix,Hystricidae,Rodentia,99,Indian Crested Porcupine
Acomys cahirinus,Acomys,Muridae,Rodentia,97,Cairo Spiny Mouse
Serinus canaria,Serinus,Fringillidae,Passeriformes,99,Atlantic Canary
Oryx gazella,Oryx,Bovidae,Artiodactyla,99,Gemsbok
Capra hircus,Capra,Bovidae,Artiodactyla,99,Billy Goat
Syrmaticus ellioti,Syrmaticus,Phasianidae,Galliformes,99,Chinese Barred-backed Pheasant
Lygodactylus williamsi,Lygodactylus,Gekkonidae,,99,Electric blue gecko
Camelus bactrianus,Camelus,Camelidae,Artiodactyla,99,Asiatic Camel
Hystrix cristata,Hystrix,Hystricidae,Rodentia,99,African Crested Porcupine
Tamiops swinhoei,Tamiops,Sciuridae,Rodentia,99,Swinhoe's Striped Squirrel
Mergus merganser,Mergus,Anatidae,Anseriformes,99,Big fish-duck
Alligator mississippiensis,Alligator,Alligatoridae,,99,Alligator
Sciurus vulgaris,Sciurus,Sciuridae,Rodentia,99,Ardilla roja
Leiothrix lutea,Leiothrix,Leiothrichidae,Passeriformes,99,Pekin Robin
Tauraco persa,Tauraco,Musophagidae,Musophagiformes,99,GUTU
Pygoscelis antarcticus,Pygoscelis,Spheniscidae,Sphenisciformes,99,Chinstrap Penguin
Momotus momota,Momotus,Momotidae,Coraciiformes,99,Amazonian Blue-crowned Motmot
Petrogale penicillata,Petrogale,Macropodidae,Diprotodontia,99,Brush-tailed Rock Wallaby
Ara chloropterus,Ara,Psittacidae,Psittaciformes,99,Red-and-green Macaw
Callimico goeldii,Callimico,Callitrichidae,Primates,99,Callimico
Pelecanus crispus,Pelecanus,Pelecanidae,Pelecaniformes,99,Dalmatian Pelican
Mareca americana,Mareca,Anatidae,Anseriformes,99,American Widgeon
Mareca falcata,Mareca,Anatidae,Anseriformes,99,Falcated Duck
Plegadis ridgwayi,Plegadis,Threskiornithidae,Pelecaniformes,99,Puna Ibis
Petaurus breviceps,Petaurus,Petauridae,Diprotodontia,99,Coastal Sugar Glider
Aythya nyroca,Aythya,Anatidae,Anseriformes,99,Common White-eye
Panthera tigris,Panthera,Felidae,Carnivora,99,Bagh
Pelecanus onocrotalus,Pelecanus,Pelecanidae,Pelecaniformes,99,Eastern White Pelican
Potamotrygon leopoldi,Potamotrygon,Potamotrygonidae,Myliobatiformes,99,White-blotched river stingray
Scissirostrum dubium,Scissirostrum,Sturnidae,Passeriformes,99,Finch-billed Myna
Neofelis nebulosa,Neofelis,Felidae,Carnivora,99,Clouded Leopard
Urocolius macrourus,Urocolius,Coliidae,Coliiformes,99,BNMO
Castor canadensis,Castor,Castoridae,Rodentia,99,Admiralty Beaver
Ciconia abdimii,Ciconia,Ciconiidae,Ciconiiformes,99,ABST
Osphranter rufus,Macropus,Macropodidae,Diprotodontia,98,Blue Flier
Felis chaus,Felis,Felidae,Carnivora,98,Chaus
Spheniscus humboldti,Spheniscus,Spheniscidae,Sphenisciformes,99,Humboldt Penguin
Nomascus leucogenys,Nomascus,Hylobatidae,Primates,99,Nordlicher Wei 3 wangengibbon
Ovibos moschatus,Ovibos,Bovidae,Artiodactyla,99,Boeuf-musqué
Spatula querquedula,Spatula,Anatidae,Anseriformes,99,Garganey
Mico argentatus,Mico,Callitrichidae,Primates,99,Silvery Marmoset
Amazona aestiva,Amazona,Psittacidae,Psittaciformes,99,Blue-fronted Amazon
