binSpecies,genus,family,order,confidence,common_name
Bostrychia hagedash,Bostrychia,Threskiornithidae,Pelecaniformes,99,Flying Vuvuzela
Tragelaphus oryx,Taurotragus,Bovidae,Artiodactyla,98,Common Eland
Bos javanicus,Bos,Bovidae,Artiodactyla,99,Bali Cattle
Kobus megaceros,Kobus,Bovidae,Artiodactyla,99,Gray's Waterbuck
Physignathus cocincinus,Physignathus,Agamidae,,99,Asian water dragon
Octodon degus,Octodon,Octodontidae,Rodentia,99,Common Degu
Cricetomys gambianus,Cricetomys,Nesomyidae,Rodentia,99,African Giant Pouched Rat
Dendrocygna javanica,Dendrocygna,Anatidae,Anseriformes,99,Indian whistling duck
Notamacropus eugenii,Macropus,Macropodidae,Diprotodontia,98,Dama Wallaby
Gracula religiosa,Gracula,Sturnidae,Passeriformes,99,Common Hill Myna
Morelia viridis,Morelia,Pythonidae,,99,Green Python
Rusa alfredi,Rusa,Cervidae,Artiodactyla,99,Philippine Spotted Deer
Ovis canadensis,Ovis,Bovidae,Artiodactyla,99,American Bighorn
Capromys pilorides,Capromys,Capromyidae,Rodentia,99,Cuban Ground Hutia
Trichosurus vulpecula,Trichosurus,Phalangeridae,Diprotodontia,99,Australian Brushtail Possum
Nyctereutes procyonoides,Nyctereutes,Canidae,Carnivora,99,Asian Raccoon
