cohort,group,sex,n,n_dead,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,fp_mean,fp_cv,eta,beta,epsilon,k,s,beta_xc_eps
C2015,Min,f,136,135,874.7597384373598,0.0127323687762442,production,59.68760385015048,2.39161560287262,0.573932180026449,0.1066535789734528,0.0011737048949749,5.830799373030436,1.0082088294666478,0.1966731201749742,3.1254589986792485e-06,0.0006561026471699,0.0001219232828021,0.0011737048949749,14.500075227629416,5.381274454646349
C2015,Min,m,156,150,762.0187908496733,0.0215488012598937,removal,66.18659962504171,8.056455941471022,8.026194431938947,1.0782764020328903,0.0010001337226761,-3.7077380657371446,1.007778173620665,0.3059836086349445,1.3874350915962724e-05,0.0105328038210048,0.0014150260006457,0.0010001337226761,2.632339601097597,7.443540836845771
C2015,MitoQ,f,136,136,892.0477941176473,0.0156367389570231,production,85.68578004301526,1.7460414408643437,0.0690593335677346,0.0641371709777396,0.0151631385351023,12.535030382669529,1.002882501494515,0.1827028240537037,2.1942105551269503e-06,7.741662949353898e-05,7.189880564771733e-05,0.0151631385351023,20.60238382207805,1.076744304666997
C2015,MitoQ,m,156,145,747.7946713283576,0.0150674039764408,removal,99.44230088288896,6.961037450664018,7.263073482521918,1.0973766509797758,0.0010143267411437,-3.4469065418994598,1.0000687201394425,0.342161257613576,1.2448276838261986e-05,0.0097126574459537,0.0014674839137733,0.0010143267411437,2.4042591067543566,6.618578476257167
C2015,Rapa_hi_continuous,f,136,136,968.5220588235296,0.0391488114748419,removal,65.09931104001589,6.880936173830427,5.462431583558856,0.6364929651901794,0.0010721080475578,-3.176725599849316,1.0230655683420282,0.2487743613119747,7.335479307353224e-06,0.0056399661048444,0.0006571796268257,0.0010721080475578,4.12126135491555,8.58207691569179
C2015,Rapa_hi_continuous,m,156,146,827.182118210238,0.0166942764414499,removal,123.68451410485432,7.817434864671598,7.782230815743088,1.0615454180531965,0.0010585328817864,-3.6489379705590506,1.008107660240197,0.3095297543258539,1.142515226164608e-05,0.0094081226424253,0.0012833273286299,0.0010585328817864,2.633865268875193,7.331038958290811
C2015,Rapa_hi_cycle,f,136,133,944.35118761137,0.0265136156629198,removal,76.71671181591228,6.261775270543802,4.4048885504431965,0.4835567104488502,0.0010031084130262,-2.63464633546029,1.0152828841334451,0.2285584874609154,7.021508331117453e-06,0.0046644602222451,0.0005120517841164,0.0010031084130262,5.174892400053247,9.109352543891823
C2015,Rapa_hi_cycle,m,159,144,812.4020656379065,0.0315444628273697,removal,106.55342215625568,7.970526976165737,10.147832441394184,1.5253574965846488,0.0010349600279321,-4.0400817297647365,1.0160870521540066,0.369356097398698,1.2076608790989818e-05,0.012491145543095,0.0018775893872043,0.0010349600279321,1.8508527868022095,6.652756789221993
C2015,Rapa_hi_start_stop,f,136,134,913.6061231635512,0.0201139585301249,removal,52.8356343859341,5.456633651908232,3.2475019839996246,0.3057755777380265,0.0010723768830033,-1.6979287943339971,1.0156187867185569,0.1941627029575216,6.537426118069818e-06,0.0035545974371915,0.0003346908147673,0.0010723768830033,7.639406205466567,10.62054075090956
C2015,Rapa_hi_start_stop,m,153,127,804.9482842067832,0.0259693428136336,removal,84.08886433602311,7.532937801315686,7.699500593096627,1.0779245614630737,0.0010534509597669,-3.648707741755561,1.0144711489664562,0.3185034479949843,1.1625949268894008e-05,0.0095652115100585,0.0013391227518737,0.0010534509597669,2.5462076752697764,7.1428937314927206
C2015,bGPA,f,136,136,886.9779411764708,0.0146376584362462,production,49.89769137604162,2.2169132763042434,0.4352133213513059,0.0974190087173143,0.0011648808991026,6.910800321879682,1.005250051057086,0.1969204269786535,2.8178837058308184e-06,0.0004906698364719,0.0001098325045018,0.0011648808991026,15.283775366002022,4.467437382925812
C2015,bGPA,m,156,140,742.6321348185596,0.0212015894727575,removal,86.15947988303378,8.071719001342624,8.993981657432332,1.2970418552292795,0.0010383145894477,-3.822638519159096,1.0022945013225788,0.339923952782781,1.4635870520756625e-05,0.0121109513522866,0.0017465469031261,0.0010383145894477,2.1904282219339546,6.934226232693512
C2016,17aE2_16m,m,156,151,880.015918803419,0.0281184151689949,removal,64.34577790321782,6.425144811738837,4.462805437409305,0.4460722247444739,0.0010052460007614,-2.802759199490765,1.0250613774418482,0.2116903695841392,8.296632698990243e-06,0.0050712780781028,0.0005068910859601,0.0010052460007614,5.682458569605567,10.00467007325049
C2016,17aE2_20m,m,159,143,833.1002300288822,0.0197608951753454,removal,78.20429216302,8.724862671920334,8.054140713960264,0.9662740892588604,0.0010373177473121,-3.820561286944645,1.0103285412563845,0.2705272525149007,1.2570833991017364e-05,0.0096676731366177,0.0011598533458877,0.0010373177473121,3.056884050164405,8.335254772419542
C2016,CC,f,136,132,879.8857352941179,0.0189682227956084,production,79.57531758304685,1.645639962372615,0.0115550039057964,0.0620768084056192,1.4060275084210592,13.068728855703782,1.002942503945428,0.1852481824653528,2.125603571799682e-06,1.313239144845782e-05,7.05509885154223e-05,1.4060275084210592,20.665124799968638,0.186140431548838
C2016,CC,m,156,138,798.5499738538833,0.0116020235321897,removal,128.21309369709343,8.23505735636684,7.009998365360498,0.8135581258555316,0.001001519583343,-3.555332551236433,1.0045914728505825,0.2559609487177577,1.2914048964752322e-05,0.0087784091101143,0.0010187942552038,0.001001519583343,3.52731891279715,8.6164689929055
C2016,Cana,f,136,136,868.4117647058827,0.0130777486255377,removal,102.35836585005744,6.088927780413936,3.736744064603635,0.3445022387892112,0.0010069888466429,-2.009508492106633,1.0007276803684353,0.1939495542906121,8.074012663831803e-06,0.0043029634287246,0.0003967037905179,0.0010069888466429,7.162726408713876,10.846791816903162
C2016,Cana,m,156,145,894.1354153575467,0.0161789855360299,production,104.72298633283935,1.6946272194563117,0.1404071361697674,0.1027915702772296,0.0050852509333473,6.877086045595532,1.0067795623930005,0.2333650170304089,2.119666733281569e-06,0.0001570311764394,0.0001149619716563,0.0050852509333473,12.664253301515796,1.3659401815838432
C2016,Control,f,304,303,870.9505689900425,0.0085956834222386,removal,81.70317869610153,4.7843379446258325,3.620335754729452,0.1777260253205862,0.2227160938198462,-6.910449835363955,1.006356991399039,0.1618091729961694,6.307174319010897e-06,0.0041567637517334,0.0002040598303146,0.2227160938198462,12.307218072474027,20.37031857432814
C2016,Control,m,303,275,764.0654235139672,0.0107629205641135,removal,114.45125495898536,7.031738746192333,6.562637516506928,0.9245896124824,0.0010317371807302,-3.2952653829092835,1.0005715269877606,0.3096942067987983,1.2044856577571387e-05,0.0085891041716363,0.001210092204186,0.0010317371807302,2.8680211749236117,7.097892327480428
C2016,GGA,f,136,136,866.948529411765,0.0164843253138613,removal,77.49914144608192,4.917460203898092,2.659728065929798,0.2394630061884307,0.0015939114131002,-0.8393695843882842,1.0141402200444731,0.1831306583921433,6.542658092375813e-06,0.0030679192313002,0.0002762136367552,0.0015939114131002,9.260447984923298,11.107052017199218
C2016,GGA,m,156,135,780.3090094138983,0.0184721921968534,removal,110.89111101813614,12.176078725140227,12.500450513990796,1.3889220979931287,0.0010157815173925,-4.616825638159301,1.0063332639271458,0.2641741580237761,1.999743090135043e-05,0.0160198720803955,0.0017799641952569,0.0010157815173925,2.512325092678797,9.000109172467525
C2016,MIF098,f,136,136,838.5073529411766,0.0206566405427593,removal,74.51832504197955,4.948871534653354,2.6697418234400287,0.2440778970671253,0.001297840804421,-0.8001791987729205,1.0095044546959169,0.1850206797202881,7.038699584431703e-06,0.0031839217796666,0.0002910861737956,0.001297840804421,9.114327658003353,10.93807286739203
C2016,MIF098,m,156,146,784.901275908961,0.0183775533366573,removal,95.31716951099224,8.337849386624596,7.702960482124752,0.9321858544418375,0.0010230034497475,-3.791127887183526,1.019747235796543,0.271560157513117,1.3533931552775867e-05,0.0098139227423274,0.0011876472660364,0.0010230034497475,3.0975941435054777,8.26333122887499
C2016,NR,f,136,134,856.0237606837607,0.0181782449166115,production,101.25025674607603,1.6470045369706248,0.0001000100383776,0.0609855146248553,4.999986144393039,13.50160384005923,1.0025967715484136,0.1836341709574968,2.247621389293902e-06,1.1683091401319901e-07,7.124278253227725e-05,4.999986144393039,21.043632306568465,0.0016398982445733
C2016,NR,m,156,145,742.6542377756815,0.0125880575599109,removal,127.76996342581695,14.616178679981015,19.30061720050691,2.0522041082066718,0.0388312974029475,-5.843730559040802,0.9978170511841158,0.2982271025292765,2.6500893474057235e-05,0.0259886986685944,0.0027633372353104,0.0388312974029475,1.8629292819758292,9.404823391262406
